cntry,1995_car,1996_car,1997_car,1998_car,1999_car,2000_car,2001_car,2002_car,2003_car,2004_car,2005_car,2006_car,2007_car,2008_car,Average_car,Minimum_car,Maximum_car,2005_alc,2008_alc,Average_alc,Minimum_alc,Maximum_alc,1995_fert,1996_fert,1997_fert,1998_fert,1999_fert,2000_fert,2001_fert,2002_fert,2003_fert,2004_fert,2005_fert,2006_fert,2007_fert,2008_fert,Average_fert,Minimum_fert,Maximum_fert,2002_tbc,2005_tbc,Average_tbc,Minimum_tbc,Maximum_tbc,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,Average_gdp,Minimum_gdp,Maximum_gdp
Greece,,,,13.624,11.485999999999999,11.793,11.184000000000001,10.255,8.953,10.825999999999999,10.322000000000001,9.175,,,10.846444444444444,8.953,13.624,10.75,11.01,10.879999999999999,10.75,11.01,1.32,1.306,1.2930000000000001,1.2819999999999998,1.273,1.2690000000000001,1.272,1.284,1.304,1.3319999999999999,1.364,1.399,1.431,1.459,1.3277142857142858,1.2690000000000001,1.459,51.8,51.8,51.8,51.8,51.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Guatemala,,,,,,,,,,3.098016775,1.8,0.862,,,1.9200055916666667,0.862,3.098016775,4.03,7.1,5.5649999999999995,4.03,7.1,5.237,5.148,5.058,4.97,4.8839999999999995,4.801,4.718,4.6339999999999995,4.547,4.459,4.371,4.283,4.199,4.119,4.6734285714285715,4.119,5.237,14.4,14.4,14.4,14.4,14.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Hungary,,6.24,6.187,6.032,6.029,5.7170000000000005,5.64,7.329,7.122999999999999,7.023,6.876,7.074,6.734,5.234,6.402923076923077,5.234,7.329,16.27,16.12,16.195,16.12,16.27,1.557,1.4880000000000002,1.425,1.3730000000000002,1.3330000000000002,1.307,1.2930000000000001,1.288,1.288,1.2919999999999998,1.2990000000000002,1.308,1.32,1.3330000000000002,1.3502857142857145,1.288,1.557,39.8,39.8,39.8,39.8,39.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
Iceland,,2.803,2.489,9.302999999999999,4.026,9.261000000000001,8.381,9.333,6.029,5.332999999999999,4.566,8.03,3.091,3.435,5.852307692307692,2.489,9.333,6.31,7.38,6.845,6.31,7.38,2.1319999999999997,2.104,2.074,2.046,2.022,2.005,1.999,2.003,2.016,2.036,2.061,2.085,2.105,2.1180000000000003,2.0575714285714284,1.999,2.1319999999999997,26.3,26.3,26.3,26.3,26.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
India,,,,,,,,,,,,3.033993307,,,3.033993307,3.033993307,3.033993307,2.59,2.69,2.6399999999999997,2.59,2.69,3.4730000000000003,3.4019999999999997,3.3339999999999996,3.2689999999999997,3.207,3.145,3.083,3.0180000000000002,2.952,2.884,2.8169999999999997,2.753,2.694,2.6430000000000002,3.0481428571428575,2.6430000000000002,3.4730000000000003,18.6,18.6,18.6,18.6,18.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
Indonesia,,,,,,,,,,,,,,1.232,1.232,1.232,1.232,0.59,0.56,0.575,0.56,0.59,2.6910000000000003,2.628,2.575,2.5340000000000003,2.503,2.484,2.475,2.474,2.479,2.4859999999999998,2.4930000000000003,2.495,2.49,2.479,2.5204285714285715,2.474,2.6910000000000003,35.4,35.4,35.4,35.4,35.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Iran,,,,,,,,,,26.72674795,,,,,26.72674795,26.72674795,26.72674795,1.02,1.03,1.025,1.02,1.03,3.2039999999999997,2.946,2.716,2.512,2.3369999999999997,2.193,2.079,1.994,1.9340000000000002,1.895,1.8730000000000002,1.8659999999999999,1.87,1.88,2.2356428571428575,1.8659999999999999,3.2039999999999997,17.6,17.6,17.6,17.6,17.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Ireland,,6.689,6.496,7.365,6.724,7.104,6.473,5.593999999999999,4.488,3.778,4.468999999999999,4.036891446,4.1080000000000005,3.7680000000000002,5.468683957384615,3.7680000000000002,7.365,14.41,14.92,14.665,14.41,14.92,1.8980000000000001,1.9069999999999998,1.919,1.932,1.943,1.9509999999999998,1.9580000000000002,1.965,1.972,1.979,1.9869999999999999,1.993,1.999,2.002,1.9574999999999996,1.8980000000000001,2.002,26.3,26.3,26.3,26.3,26.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Israel,,7.34,7.182,5.9879999999999995,6.159,5.23,6.678,5.787999999999999,4.773,5.441,4.939,4.382,4.5889999999999995,,5.707416666666666,4.382,7.34,2.89,2.52,2.705,2.52,2.89,2.924,2.924,2.925,2.925,2.924,2.9210000000000003,2.918,2.9139999999999997,2.912,2.91,2.91,2.911,2.9130000000000003,2.9160000000000004,2.9176428571428565,2.91,2.925,24.6,24.6,24.6,24.6,24.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Italy,,7.21,7.755,7.472,7.3870000000000005,7.084,6.94,6.857,5.449,,,4.098,3.778,,6.4030000000000005,3.778,7.755,10.68,9.72,10.2,9.72,10.68,1.24,1.228,1.22,1.215,1.214,1.22,1.23,1.246,1.266,1.29,1.315,1.341,1.367,1.392,1.2702857142857142,1.214,1.392,26.1,26.1,26.1,26.1,26.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
